Название ;Науки
Вестник Могилевского государственного университета продовольствия;"технические (пищевые технологии; процессы, аппараты и оборудование пищевых производств)"
Вестник Полоцкого государственного университета.;"исторические;"
Серия A. Гуманитарные науки;филологические
Вестник Полоцкого государственного университета.;"технические (материаловедение);"
Серия B. Промышленность. Прикладные науки.;"машиностроение и машиноведение;"
Серия B. Промышленность. Прикладные науки.;химические технологии
Вестник Полоцкого государственного университета.;"технические (информатика, вычислительная техника и управление; электрофизика; электрофизические установки и технологии);"
Серия C. Фундаментальные науки.;физико-математические (электрофизика)
Вестник Полоцкого государственного университета. Серия D. Экономические и юридические науки;"экономические (экономика и управление промышленностью; финансы, денежное обращение и кредит; бухгалтерский учет и статистика);"
Вестник Полоцкого государственного университета. Серия D. Экономические и юридические науки;юридические
Вестник Полоцкого государственного университета. Серия E. Педагогические науки.;"культурология; педагогические;"
Вестник Полоцкого государственного университета. Серия E. Педагогические науки.;философские
Вестник Полоцкого государственного университета. Серия F. Строительство. Прикладные науки.;"технические (геодезия; геоэкология; строительство)"
Вестник Университета гражданской защиты МЧС Беларуси;"военные (гражданская оборона);"
Вестник Университета гражданской защиты МЧС Беларуси;"психологические;"
Вестник Университета гражданской защиты МЧС Беларуси;"технические (безопасность в чрезвычайных ситуациях; пожарная и промышленная безопасность; гражданская оборона)"
Вестник фармации;"медицинские (фармакология, клиническая фармакология);"
Вестник фармации;"фармацевтические;"
Вестник Фонда фундаментальных исследований**;"биологические;"
Вестник Фонда фундаментальных исследований**;"географические;"
Вестник Фонда фундаментальных исследований**;"геолого-минералогические;"
Вестник Фонда фундаментальных исследований**;"медицинские;"
Вестник Фонда фундаментальных исследований**;"технические;"
Вестник Фонда фундаментальных исследований**;"физико-математические;"
Вестник Фонда фундаментальных исследований**;химические
Весці БДПУ. Серыя 1. Педагогіка. Псіхалогія. Філалогія;"педагогические;"
Весці БДПУ. Серыя 1. Педагогіка. Псіхалогія. Філалогія;"психологические;"
Весці БДПУ. Серыя 1. Педагогіка. Псіхалогія. Філалогія;филологические
Весці БДПУ. Серыя 2. Гісторыя. Філасофія. Паліталогія. Сацыялогія. Эканоміка. Культуралогія **;"исторические;"
Весці БДПУ. Серыя 2. Гісторыя. Філасофія. Паліталогія. Сацыялогія. Эканоміка. Культуралогія **;"культурология;"
Весці БДПУ. Серыя 2. Гісторыя. Філасофія. Паліталогія. Сацыялогія. Эканоміка. Культуралогія **;"политические;"
Весці БДПУ. Серыя 2. Гісторыя. Філасофія. Паліталогія. Сацыялогія. Эканоміка. Культуралогія **;"социологические;"
Весці БДПУ. Серыя 2. Гісторыя. Філасофія. Паліталогія. Сацыялогія. Эканоміка. Культуралогія **;"философские;"
Весці БДПУ. Серыя 2. Гісторыя. Філасофія. Паліталогія. Сацыялогія. Эканоміка. Культуралогія **;экономические (экономическая теория)
Весці БДПУ. Серыя 3. Фізіка. Матэматыка. Інфарматыка. Біялогія. Геаграфія**;"биологические;"
Весці БДПУ. Серыя 3. Фізіка. Матэматыка. Інфарматыка. Біялогія. Геаграфія**;"географические;"
Весці БДПУ. Серыя 3. Фізіка. Матэматыка. Інфарматыка. Біялогія. Геаграфія**;"педагогические (теория и методика обучения математике, физике, информатике);"
Весці БДПУ. Серыя 3. Фізіка. Матэматыка. Інфарматыка. Біялогія. Геаграфія**;"технические (информатика, вычислительная техника и управление);"
Весці БДПУ. Серыя 3. Фізіка. Матэматыка. Інфарматыка. Біялогія. Геаграфія**;физико-математические (математика, оптика, физика конденсированного состояния)
Весці Беларускай дзяржаўнай акадэміі музыкі;"искусствоведение (музыкальное искусство);"
Весці Беларускай дзяржаўнай акадэміі музыкі;культурология
Весці Нацыянальнай акадэміі навук Беларусі. Серыя аграрных навук *, ***;"ветеринарные;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя аграрных навук *, ***;"сельскохозяйственные;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя аграрных навук *, ***;"технические (сельскохозяйственное машиностроение и транспорт);"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя аграрных навук *, ***;экономические (агропромышленный комплекс)
Весці Нацыянальнай акадэміі навук Беларусі. Серыя біялагічных навук;биологические
Весці Нацыянальнай акадэміі навук Беларусі. Серыя гуманітарных навук *, ***;"искусствоведение;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя гуманітарных навук *, ***;"исторические;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя гуманітарных навук *, ***;"политические;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя гуманітарных навук *, ***;"социологические;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя гуманітарных навук *, ***;"филологические;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя гуманітарных навук *, ***;"философские;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя гуманітарных навук *, ***;"экономические;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя гуманітарных навук *, ***;юридические
Весці Нацыянальнай акадэміі навук Беларусі. Серыя медыцынскіх навук;"биологические (медико-биологические аспекты);"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя медыцынскіх навук;медицинские
Весці Нацыянальнай акадэміі навук Беларусі. Серыя фізіка-матэматычных навук***;физико-математические (математика, информатика, физика)
Весці Нацыянальнай акадэміі навук Беларусі. Серыя фізіка-тэхнічных навук ***;"технические;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя фізіка-тэхнічных навук ***;физико-математические (прикладная физика)
Весці Нацыянальнай акадэміі навук Беларусі. Серыя хімічных навук***;"геолого-минералогические;"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя хімічных навук***;"технические (химическая технология);"
Весці Нацыянальнай акадэміі навук Беларусі. Серыя хімічных навук***;химические
Ветеринарный журнал Беларуси;"биологические (общая биология);"
Ветеринарный журнал Беларуси;"ветеринарные;"
Ветеринарный журнал Беларуси;сельскохозяйственные (зоотехния)
Военная медицина;медицинские
Вопросы организации и информатизации здравоохранения;медицинские (общественное здоровье и здравоохранение)
Вычислительные методы в прикладной математике (Computational methods in applied mathematics);физико-математические (математика)
Выхаванне і дадатковая адукацыя;"педагогические (общая педагогика, история педагогики и образования; проблемы воспитания; теория и методика социокультурной деятельности)"
Вышэйшая школа *;"исторические;"
Вышэйшая школа *;"педагогические;"
Вышэйшая школа *;"психологические;"
Вышэйшая школа *;"политические;"
Вышэйшая школа *;"социологические;"
Вышэйшая школа *;философские
Геаграфія;педагогические
Гематология Трансфузиология Восточная Европа;медицинские
Гепатология и гастроэнтерология;медицинские
Гісторыя і грамадазнаўства;"исторические;"
Гісторыя і грамадазнаўства;"педагогические (история педагогики и образования, теория и методика обучения и воспитания (история);"
Гісторыя і грамадазнаўства;философские
Горная механика и машиностроение;технические (геотехнология, материаловедение, машиностроение)
Гуманитарно-экономический вестник;"исторические;"
Гуманитарно-экономический вестник;"социологические;"
Гуманитарно-экономический вестник;экономические (экономика и управление на предприятии, финансы и кредит, бухгалтерский учет и аудит)
Дерматовенерология;медицинские
Косметология;медицинские
Доклады БГУИР;"технические;"
Доклады БГУИР;физико-математические
Доклады Национальной академии наук Беларуси *;по всем отраслям науки и научным направлениям
Евразийский онкологический журнал;медицинские (онкология)
Идеологические аспекты военной безопасности;"исторические (отечественная история; история международных отношений и внешней политики);"
Идеологические аспекты военной безопасности;"политические (политические институты, процессы и технологии; политическая культура и идеология; политические проблемы международных отношений глобального и регионального развития)"
Животноводство и ветеринарная медицина;"ветеринарные;"
Животноводство и ветеринарная медицина;сельскохозяйственные (зоотехния)
Журнал Белорусского государственного университета. Физика;физико-математические (теоретическая, экспериментальная и прикладная физика)
Журнал Белорусского государственного университета. Математика. Информатика;физико-математические (математика, информатика)
Журнал Белорусского государственного университета. География. Геология;"географические;"
Журнал Белорусского государственного университета. География. Геология;геолого-минералогические
Журнал Белорусского государственного университета. Химия;химические
Журнал Белорусского государственного университета. Биология;биологические
Журнал Белорусского государственного университета. История;исторические,
Журнал Белорусского государственного университета. История;а также в области музееведения, консервации, реставрации историко-культурных объектов, документалистики, документоведения и архивоведения
Журнал Белорусского государственного университета. Экономика;экономические
Журнал Белорусского государственного университета. Право;юридические
Журнал Белорусского государственного университета. Философия. Психология;"философские;"
Журнал Белорусского государственного университета. Философия. Психология;"психологические;"
Журнал Белорусского государственного университета. Философия. Психология;социологические
Журнал Белорусского государственного университета. Международные отношения;"исторические;"
Журнал Белорусского государственного университета. Международные отношения;"политические;"
Журнал Белорусского государственного университета. Международные отношения;"юридические;"
Журнал Белорусского государственного университета. Филология;"филологические;"
Журнал Белорусского государственного университета. Филология;педагогические
Журнал Белорусского государственного университета. Журналистика. Педагогика;"филологические;"
Журнал Белорусского государственного университета. Журналистика. Педагогика;педагогические
Журнал Белорусского государственного университета. Социология;"социологические;"
Журнал Белорусского государственного университета. Социология;"политические;"
Журнал Белорусского государственного университета. Социология;философские
Журнал Белорусского государственного университета. Экология;"биологические; сельскохозяйственные; технические (экология)"
Журнал Гродненского государственного медицинского университета;"биологические (медико-биологические аспекты);"
Журнал Гродненского государственного медицинского университета;медицинские
Журнал международного права и международных отношений;"исторические;"
Журнал международного права и международных отношений;"экономические (вопросы мировой экономики и международного сотрудничества);"
Журнал международного права и международных отношений;юридические (вопросы международного права и международных отношений)
Журнал прикладной спектроскопии;"физико-математические (физика);"
Журнал прикладной спектроскопии;"биологические;"
Журнал прикладной спектроскопии;химические
Законность и правопорядок;юридические
Замежныя мовы;"педагогические;"
Замежныя мовы;филологические
Здравоохранение;"биологические (медико-биологические аспекты);"
Здравоохранение;медицинские
Земля Беларуси;"географические;"
Земля Беларуси;сельскохозяйственные (агропочвоведение, агрофизика)
Земляробства і ахова раслін;"биологические;"
Земляробства і ахова раслін;сельскохозяйственные
Известия Гомельского государственного университета имени Ф.Скорины. Гуманитарные науки;"исторические; филологические;"
Известия Гомельского государственного университета имени Ф.Скорины. Гуманитарные науки;философские
Известия Гомельского государственного университета имени Ф.Скорины. Социально-экономические и общественные науки;"педагогические;"
Известия Гомельского государственного университета имени Ф.Скорины. Социально-экономические и общественные науки;"экономические;"
Известия Гомельского государственного университета имени Ф.Скорины. Социально-экономические и общественные науки;юридические
Известия Гомельского государственного университета имени Ф.Скорины. Естественные науки;"биологические;"
Известия Гомельского государственного университета имени Ф.Скорины. Естественные науки;"технические (информационные технологии; радиотехника и связь; электроника);"
Известия Гомельского государственного университета имени Ф.Скорины. Естественные науки;физико-математические
Изобретатель;технические (машиностроение, энергетика, транспорт)
Иммунопатология, аллергология, инфектология;"биологические (медико-биологические аспекты);"
Иммунопатология, аллергология, инфектология;медицинские
Инженерно-физический журнал;"технические (теплофизика, термодинамика необратимых процессов, тепло- и массообмен);"
Инженерно-физический журнал;физико-математические (теплофизика, термодинамика необратимых процессов, тепло- и массообмен)
Инновационные технологии в медицине;"биологические (биофизика, биохимия);"
Инновационные технологии в медицине;медицинские
Интеллектуальная собственность в Беларуси;"экономические (вопросы интеллектуальной собственности);"
Интеллектуальная собственность в Беларуси;юридические (вопросы интеллектуальной собственности)
Цифровая трансформация;"технические (информатика, вычислительная техника и управление);"
Цифровая трансформация;экономические
Информатика;"технические (информатика, вычислительная техника и управление);"
Информатика;физико-математические (математика)
Иппокрена;"политические; социологические; экономические (экономика и управления народным хозяйством)"
Искусство и культура;"искусствоведение;"
Искусство и культура;"культурология;"
Искусство и культура;педагогические (педагогические проблемы в сфере культуры и искусства)
Кардиология в Беларуси;медицинские
Клиническая инфектология и паразитология;медицинские (инфекционные болезни, клиническая иммунология, аллергология и паразитология)
Лабораторная диагностика. Восточная Европа;"медицинские (лабораторная диагностика, иммунология);"
